"","MIR34","MIR200","MIR190","MIR1199","GRHL2","ESRP1","HA","ZEB1","TGFB","CD44s","CD24","MIR340","HAS2","SNAIL1"
"TGFB",0.134747836127864,-0.0408377594395175,0.0951479144488555,0.0951479144488555,0.0951479144488555,0.0951479144488555,0.0973928124080392,-0.0966279903501838,-0.0904603638586298,-0.0973928124080392,-0.0973928124080392,-0.0951479144488555,-0.0951479144488555,-0.065624271172182
"MIR34",0.134747836127864,-0.0408377594395175,0.0951479144488555,0.0951479144488555,0.0951479144488555,0.0951479144488555,0.0973928124080392,-0.0966279903501838,-0.0904603638586298,-0.0973928124080392,-0.0973928124080392,-0.0951479144488555,-0.0951479144488555,-0.065624271172182
"MIR340",0.0812579060469743,0.0666475098071454,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.05516710479981,-0.0544859066113946,-0.00114712436965132,-0.05516710479981,-0.05516710479981,-0.0539906342115747,-0.0539906342115747,-0.0744879256453969
"MIR1199",0.0812579060469743,0.0666475098071454,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.05516710479981,-0.0544859066113946,-0.00114712436965132,-0.05516710479981,-0.05516710479981,-0.0539906342115747,-0.0539906342115747,-0.0744879256453969
"CD44s",0.0812579060469743,0.0666475098071454,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.05516710479981,-0.0544859066113946,-0.00114712436965132,-0.05516710479981,-0.05516710479981,-0.0539906342115747,-0.0539906342115747,-0.0744879256453969
"CD24",0.0812579060469743,0.0666475098071454,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.0539906342115747,0.05516710479981,-0.0544859066113946,-0.00114712436965132,-0.05516710479981,-0.05516710479981,-0.0539906342115747,-0.0539906342115747,-0.0744879256453969
"HAS2",0.0795061924140725,0.0699224526860487,0.05516710479981,0.05516710479981,0.05516710479981,0.05516710479981,-0.045822994210091,-0.0539906342115747,-0.00319840642093337,-0.054177005789909,-0.054177005789909,-0.05516710479981,-0.05516710479981,-0.0788844084591459
"ZEB1",-0.0799906249409835,-0.0685484314661316,-0.0544859066113946,-0.0544859066113946,-0.0544859066113946,-0.0544859066113946,-0.0539906342115747,-0.0460287870628541,0.00267278317686353,0.0539906342115747,0.0539906342115747,0.0544859066113946,0.0544859066113946,0.0772989304300859
"GRHL2",-0.0019432113868945,-0.0181150574672686,-0.0152515559376732,-0.0152515559376732,-0.0152515559376732,-0.0152515559376732,-0.0141240624424433,0.0145677395912062,-0.00220300908921207,0.0141240624424433,-0.0858759375575567,0.0152515559376732,0.0152515559376732,-0.0615237020371235
"MIR200",0.0232175213272645,-0.163323062421789,-0.0512279989842021,-0.0512279989842021,-0.0512279989842021,-0.0512279989842021,-0.0534465692389269,0.0522589268192537,2.54407252848261e-05,0.0534465692389269,0.0534465692389269,0.0512279989842021,0.0512279989842021,-0.0431993105479175
"ESRP1",-0.0795061924140725,-0.0699224526860487,-0.05516710479981,-0.05516710479981,-0.05516710479981,-0.05516710479981,-0.054177005789909,0.0539906342115747,0.00319840642093337,-0.045822994210091,0.054177005789909,0.05516710479981,0.05516710479981,0.0788844084591459
"HA",-0.0812579060469743,-0.0666475098071454,-0.0539906342115747,-0.0539906342115747,-0.0539906342115747,-0.0539906342115747,-0.05516710479981,0.0544859066113946,0.00114712436965132,0.05516710479981,0.05516710479981,0.0539906342115747,0.0539906342115747,0.0744879256453969
"MIR190",-0.133183298970107,0.0364049041592046,-0.0973928124080392,-0.0973928124080392,-0.0973928124080392,-0.0973928124080392,-0.0927606598194834,0.0951479144488555,-0.00656723699062713,0.0927606598194834,0.0927606598194834,0.0973928124080392,0.0973928124080392,0.070495719074753
"SNAIL1",-0.133945502065136,0.0381389994103417,-0.0966279903501838,-0.0966279903501838,-0.0966279903501838,-0.0966279903501838,-0.0951479144488555,0.095536256336289,0.0922901172396958,0.0951479144488555,0.0951479144488555,0.0966279903501838,0.0966279903501838,-0.0312396640832555
