"","SNAIL1","ZEB1","MIR340","MIR1199","HAS2","ESRP1","HA","CD24","MIR34","TGFB","MIR200","CD44s","MIR190","GRHL2","TWIST1","MIR129"
"GRHL2",0.131384398261325,-0.126718708106498,0.124689594740817,0.124689594740817,0.124689594740817,0.124689594740817,0.128129085186677,0.0281290851866768,0.113092651764949,-0.0163451785197722,-0.113092651764949,-0.128129085186677,-0.124689594740817,-0.124689594740817,-0.095590137507891,-0.145002794633662
"MIR190",0.213782066289649,-0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,0.119674388257838,0.119674388257838,-0.0993430765642463,-0.0396087465215615,0.0993430765642463,-0.119674388257838,-0.120676894523503,-0.120676894523503,-0.0683097923584605,-0.195274748695755
"TGFB",0.214385594609055,-0.120367934688281,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,-0.099474000889986,-0.139371667337114,0.099474000889986,-0.120676894523503,-0.120676894523503,-0.120676894523503,-0.0687937342854293,-0.195582711740189
"MIR34",0.214385594609055,-0.120367934688281,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,0.120676894523503,-0.099474000889986,-0.139371667337114,0.099474000889986,-0.120676894523503,-0.120676894523503,-0.120676894523503,-0.0687937342854293,-0.195582711740189
"SNAIL1",0.114681381642391,-0.120347728586038,0.120367934688281,0.120367934688281,0.120367934688281,0.120367934688281,0.120676894523503,0.120676894523503,-0.0998972336680139,-0.139452928510525,0.0998972336680139,-0.120676894523503,-0.120367934688281,-0.120367934688281,-0.0690824442079335,-0.196144936326118
"ZEB1",-0.105552405321972,-0.0647384267149001,-0.0337641708199883,-0.0337641708199883,-0.0337641708199883,-0.0337641708199883,-0.030576801144683,-0.030576801144683,-0.029106086717728,0.0145293457420608,0.029106086717728,0.030576801144683,0.0337641708199883,0.0337641708199883,0.0743663604521561,0.123829328370042
"MIR129",0.162990871360664,-0.0353942468083974,0.0355195286926369,0.0355195286926369,0.0355195286926369,0.0355195286926369,0.0308995584988962,0.0308995584988962,-0.0634743419304622,-0.057644934399111,0.0634743419304622,-0.0308995584988962,-0.0355195286926369,-0.0355195286926369,-0.0758547259979638,-0.19980782704077
"MIR340",0.106399035084265,-0.0337641708199883,0.030576801144683,0.030576801144683,0.030576801144683,0.030576801144683,0.0318512276527544,0.0318512276527544,0.026894425229883,-0.014041540864012,-0.026894425229883,-0.0318512276527544,-0.030576801144683,-0.030576801144683,-0.0757686664664908,-0.124234438996405
"CD44s",0.106399035084265,-0.0337641708199883,0.030576801144683,0.030576801144683,0.030576801144683,0.030576801144683,0.0318512276527544,0.0318512276527544,0.026894425229883,-0.014041540864012,-0.026894425229883,-0.0318512276527544,-0.030576801144683,-0.030576801144683,-0.0757686664664908,-0.124234438996405
"MIR200",-0.106469349028379,-0.0240595912994601,0.0221794296407007,0.0221794296407007,0.0221794296407007,0.0221794296407007,0.023343986602726,0.023343986602726,0.15185067683718,0.00174508920614664,-0.15185067683718,-0.023343986602726,-0.0221794296407007,-0.0221794296407007,0.0618749567019997,0.124415932764493
"HAS2",-0.107061286739894,0.030576801144683,-0.0318512276527544,-0.0318512276527544,-0.0318512276527544,-0.0318512276527544,0.0582251082251082,-0.0417748917748918,-0.0284750363995353,0.0131719756466207,0.0284750363995353,0.0417748917748918,0.0318512276527544,0.0318512276527544,0.0756773422655776,0.121403388768095
"ESRP1",-0.107061286739894,0.030576801144683,-0.0318512276527544,-0.0318512276527544,-0.0318512276527544,-0.0318512276527544,-0.0417748917748918,-0.0417748917748918,-0.0284750363995353,0.0131719756466207,0.0284750363995353,-0.0582251082251082,0.0318512276527544,0.0318512276527544,0.0756773422655776,0.121403388768095
"TWIST1",-0.163773086263916,0.0337414980262123,-0.0353942468083974,-0.0353942468083974,-0.0353942468083974,-0.0353942468083974,-0.0355195286926369,-0.0355195286926369,0.0634435442710843,0.0571659262277951,-0.0634435442710843,0.0355195286926369,0.0353942468083974,0.0353942468083974,-0.0236222614497349,0.199153890341842
"MIR1199",-0.106399035084265,0.0337641708199883,-0.030576801144683,-0.030576801144683,-0.030576801144683,-0.030576801144683,-0.0318512276527544,-0.0318512276527544,-0.026894425229883,0.014041540864012,0.026894425229883,0.0318512276527544,0.030576801144683,0.030576801144683,0.0757686664664908,0.124234438996405
"HA",-0.106399035084265,0.0337641708199883,-0.030576801144683,-0.030576801144683,-0.030576801144683,-0.030576801144683,-0.0318512276527544,-0.0318512276527544,-0.026894425229883,0.014041540864012,0.026894425229883,0.0318512276527544,0.030576801144683,0.030576801144683,0.0757686664664908,0.124234438996405
"CD24",-0.106399035084265,0.0337641708199883,-0.030576801144683,-0.030576801144683,-0.030576801144683,-0.030576801144683,-0.0318512276527544,-0.0318512276527544,-0.026894425229883,0.014041540864012,0.026894425229883,0.0318512276527544,0.030576801144683,0.030576801144683,0.0757686664664908,0.124234438996405
