,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,grhl_1,1,0,0,0,0,0
1,grhl_10,1,0,0,0,0,0
2,grhl_11,1,0,0,0,0,0
3,grhl_12,1,0,0,0,0,0
4,grhl_13,1,0,0,0,0,0
5,grhl_14,3,1,0,0,2,2
6,grhl_15,1,0,0,0,0,0
7,grhl_16,2,0,0,0,0,0
8,grhl_17,1,0,0,0,0,0
9,grhl_18,2,0,0,0,0,0
10,grhl_19,1,0,0,0,0,0
11,grhl_2,1,0,0,0,0,0
12,grhl_20,1,0,0,0,0,0
13,grhl_21,1,0,0,0,0,0
14,grhl_3,1,0,0,0,0,0
15,grhl_4,3,1,0,0,2,2
16,grhl_5,1,0,0,0,0,0
17,grhl_6,2,0,0,0,0,0
18,grhl_7,1,0,0,0,0,0
19,grhl_8,2,0,0,0,0,0
20,grhl_9,1,0,0,0,0,0
21,wild,3,1,0,0,2,2
